region,child_mortality_percent,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,poverty_percent,welfare_expense_share,nominal_incomes,real_incomes,formal_wage,real_pay,living area,bad conditions,no funds,population,grp,reg_prod_total,retail,newborn_per_population,disabled_percent,all crimes,very hard crimes,hard crimes,middle hard crimes,little hard crimes,alco,drug
Алтайский край,0.48558269923908687,112764.7,200.1,1272.1,3.3,17.5,29.7,23864.0,95.5,30072.0,103.8,18.0,0.3,0.8642000000000001,2317153.0,291156.9,367.8839292183123,153605,0.8620924039111789,2.648854003166817,16287,454,2435,3882,9516,88.1,17.4
Амурская область,0.5348274544759964,83412.0,370.1,446.7,4.4,15.2,21.7,35499.0,100.3,52430.0,105.2,17.3,1.3,1.0731000000000002,790044.0,571362.1,512.0935884583644,245233,0.993995271149455,3.1731144088177365,6432,224,1359,1635,3214,113.3,24.4
Архангельская область без Ненецкого АО,0.3256231753873793,99842.1,458.9,685.3,13.8,12.3,21.4,34852.0,98.4,52779.0,102.9,16.9,1.4,1.2998,1092424.0,514200.4,607.9205473698856,250033,0.8152512211375803,2.470103183379347,7120,298,1160,1873,3789,64.7,9.2
Астраханская область,0.5865640179635231,64679.9,415.1,624.5,0.0,15.6,31.4,25199.0,97.1,38885.0,104.5,19.2,0.8,2.9027999999999996,1005782.0,526950.9,720.4322167229082,174527,1.0848275272375127,1.9421703709153673,5738,283,779,1382,3294,22.2,0.2
Белгородская область,0.3805051813471503,74637.4,136.2,388.2,0.0,7.2,16.1,32841.0,98.1,37442.0,104.8,17.8,0.7,0.384,1549151.0,646569.0,1257.652623030292,237076,0.7973399623406627,3.919308059704961,4818,133,650,1119,2916,41.3,3.2
Брянская область,0.43248945147679324,77439.0,192.1,411.3,0.0,13.6,23.1,28596.0,96.3,31946.0,102.9,24.1,0.1,0.0,1192491.0,347204.5,475.41195715523224,225643,0.7949745532670687,3.2050556356400173,5374,223,574,1206,3371,82.2,6.1
Владимирская область,0.6027667984189723,94163.6,210.4,572.7,22.5,12.5,26.0,25922.0,98.0,35240.0,103.0,16.1,0.2,0.15300000000000002,1358416.0,410443.6,855.8880313099963,177680,0.7449853358617684,2.8608320278913086,5924,212,1049,1668,2995,66.5,7.8
Волгоградская область,0.4933123124650359,64210.5,122.5,505.7,0.0,11.9,25.1,24864.0,98.7,35962.0,104.2,17.9,1.0,0.3993,2491036.0,394256.5,726.0179741360623,167446,0.7893502944156567,2.599400410110492,11679,387,1748,3829,5715,55.6,7.7
Вологодская область,0.5515049541970461,91608.4,199.4,524.6,3.3,12.8,25.9,29522.0,99.6,42775.0,105.4,16.9,1.1,0.7072,1160445.0,544379.2,1339.8914705134669,182920,0.9218877241058387,2.5696176897655643,6885,194,1013,1649,4029,50.1,6.1
Воронежская область,0.36532540055320706,55009.9,98.4,583.5,4.2,8.5,21.6,32078.0,95.4,36317.0,103.2,19.9,0.9,0.5680000000000001,2324205.0,459629.5,618.0752088563617,252416,0.8244109276075045,3.2797451171475838,8007,283,1238,2367,4119,73.4,22.5
Еврейская автономная область,0.6853582554517134,70367.2,656.2,635.7,20.5,23.6,31.2,28048.0,99.2,46237.0,103.7,13.8,0.9,0.0,158305.0,400340.5,353.36100944379524,168066,1.0138656391143677,3.17741069454534,1110,38,247,252,573,87,65.4
Забайкальский край,0.5126561999359179,65922.4,237.5,482.7,21.1,20.9,26.5,27046.0,99.9,47172.0,102.9,17.1,1.8,1.5903,1059700.0,402594.6,452.08205680853075,164741,1.1780692648862885,2.970274606020572,9234,378,1712,2456,4688,77.7,9.6
Ивановская область,0.3702234563004099,88473.5,270.4,516.2,0.0,13.7,25.1,26277.0,97.2,29083.0,101.6,18.1,1.5,0.5360000000000001,997135.0,273821.5,440.8352160941096,180314,0.7584730252172475,2.525435372341759,4458,127,797,838,2696,78.5,5.7
Иркутская область,0.6153959538637285,99980.3,242.2,567.7,6.0,17.6,28.6,27571.0,100.4,49885.0,103.5,16.3,1.6,1.9608,2391193.0,631591.9,1018.6718788487588,164879,1.134872843806418,3.7867290511472724,16275,501,2771,4836,8167,81.7,15.7
Кабардино-Балкарская Республика,0.5375330064126745,44792.0,150.2,224.4,8.2,24.2,34.4,21957.0,98.7,29899.0,105.0,18.9,0.5,0.0,868350.0,210674.1,115.40330530316116,154476,1.2211665802959637,3.4618529394829274,2675,99,480,805,1291,51.6,10
Калининградская область,0.3769114796467801,82758.6,388.8,360.7,0.0,13.5,12.6,29518.0,99.2,36647.0,99.2,15.6,1.9,0.0,1012512.0,530036.9,1287.5539028278183,183286,0.9171249328403022,2.3003184159792673,4796,166,677,1510,2443,79.1,4.2
Калужская область,0.3114918233396373,75548.6,149.3,468.4,0.0,9.7,16.9,32442.0,99.2,43994.0,102.4,15.5,0.2,0.0,1002575.0,558174.6,1843.4320502705532,214672,0.8965912774605391,2.662244719846395,4646,337,728,1179,2402,58.1,6
Камчатский край,0.43209876543209874,77458.3,229.0,513.7,0.0,14.6,13.3,55373.0,102.1,85623.0,103.8,15.9,3.0,4.466,313016.0,942802.0,1142.5247217394638,202352,1.0350908579753113,1.8567740946149718,2081,79,281,420,1301,63.1,9.2
Карачаево-Черкесская Республика,0.48847205939820243,63347.1,86.1,236.4,0.0,23.2,26.5,18949.0,97.3,29865.0,107.0,18.3,2.6,1.9828999999999999,465528.0,207471.5,174.29399950164114,83515,1.0993968139403,6.365675104397588,1898,202,202,465,1029,21.7,5.4
Кемеровская область,0.5721889554224884,86241.9,409.9,564.9,7.0,13.2,23.0,25433.0,98.1,43429.0,100.6,16.3,1.0,0.5085000000000001,2657854.0,392374.9,1140.6245289696124,153033,0.8482407235310894,3.1943816327006678,21757,682,3088,5604,12383,39.7,11.8
Кировская область,0.3766833035125718,74475.5,107.2,446.1,10.2,14.0,27.6,24192.0,97.8,32692.0,104.1,14.9,2.5,0.9234000000000001,1262402.0,315153.9,484.98170877422564,163224,0.8411742059977726,2.6702270750521624,8074,288,1087,1793,4906,56.4,4.1
Костромская область,0.777489818585709,71386.8,134.9,446.5,18.9,12.5,22.5,25780.0,97.3,32220.0,98.6,14.5,1.5,0.0,633385.0,323951.6,551.2337886119816,179587,0.8528777915485841,3.2075278069420654,3320,131,563,734,1892,61.1,8.9
Краснодарский край,0.3882839537435638,67335.5,147.5,277.7,5.9,10.4,25.7,36838.0,100.4,38499.0,103.2,18.1,1.2,0.7852,5675462.0,460720.2,383.1765223095494,261857,1.043703578669014,2.841548406103327,19712,544,3036,5783,10349,18.3,3.9
Красноярский край,0.5278592375366569,78434.8,165.5,565.5,5.5,17.0,24.8,32832.0,99.8,54426.0,105.5,16.6,1.8,1.2567,2866255.0,951613.7,1794.0981197834803,196888,1.011249871347804,2.6913516068877334,18378,821,3238,5282,9037,69.1,14.9
Курганская область,0.6191950464396285,96602.5,288.1,835.3,4.6,19.3,26.1,21860.0,97.8,33182.0,104.3,16.7,3.2,0.1305,827166.0,294464.0,361.81970235720524,147332,0.8981268572450996,3.128513502731012,6928,585,1042,1238,4063,77.8,22.5
Курская область,0.4609812314784327,54094.0,139.5,398.4,0.0,9.9,23.2,29786.0,97.8,35805.0,105.3,17.1,0.6,0.7636000000000001,1104008.0,487030.7,686.2911708973123,207134,0.8252657589437757,4.7162701719552755,5224,173,658,1314,3079,51.3,5.2
Ленинградская область,0.3919499510062562,66653.9,123.9,457.1,5.2,8.7,16.7,33149.0,100.8,48286.0,101.1,17.0,3.0,3.8308,1875872.0,661328.6,1383.1812562904079,255646,0.7072444175295542,2.166459118745842,4909,279,1050,1474,2106,35.3,8.6
Липецкая область,0.3727766535307275,66621.8,60.0,468.1,3.8,8.4,22.3,32226.0,94.9,36790.0,103.3,16.5,0.2,0.6077,1139371.0,546151.3,1367.9162060470205,236552,0.8240511650726584,3.521855479909529,4560,99,551,1132,2778,68.6,5.7
Магаданская область,0.30441400304414,67012.9,202.9,444.8,0.0,8.7,11.1,70864.0,104.3,102843.0,105.0,13.8,0.2,0.0,140149.0,2035007.0,3821.294461894127,245817,0.937573582401587,1.8266273751507325,991,94,174,298,425,127,6.2
Москва,0.3643016741685826,64633.3,150.2,276.2,0.0,6.0,17.5,77283.0,100.2,100070.0,103.1,13.8,0.5,4.096,12678079.0,1567644.8,1543.0109280751444,408674,0.974311644532267,2.1733892019445533,16708,950,4204,3814,7738,23.1,8.7
Московская область,0.3109712162008419,70054.0,90.1,423.5,3.8,6.8,19.4,47046.0,97.8,58066.0,101.8,14.8,1.0,0.9569999999999999,7690863.0,683845.1,916.2502792625484,347566,1.0285841783945442,1.8793859674785522,21929,900,3984,6277,10768,37.7,11
Мурманская область,0.3857429409041815,87319.0,72.3,449.0,20.4,10.1,22.8,46355.0,100.4,69135.0,105.1,17.7,2.4,1.8483,741404.0,1072337.1,2722.1530663174194,242844,0.8741522840448662,1.5538087196724053,4033,164,476,717,2676,48.3,6.2
Ненецкий автономный округ,0.6734006734006733,138231.7,853.1,903.3,0.0,9.4,14.4,84147.0,101.1,92237.0,101.4,20.9,5.9,0.0,44111.0,5206287.1,11922.452714742354,226206,1.3466028881684842,2.6501326199814104,269,10,35,77,147,181.8,2.3
Нижегородская область,0.4629629629629629,91127.3,412.4,330.7,4.2,9.4,22.2,33645.0,95.2,37601.0,102.8,17.5,0.5,0.16720000000000002,3202946.0,497418.6,937.1241100162163,237008,0.8632053116099989,2.5815920717989003,13340,714,1976,3368,7282,44.4,7
Новгородская область,0.4093327875562832,88536.3,133.0,408.0,14.0,13.6,25.3,26268.0,96.8,34169.0,102.4,17.6,0.4,0.0,596508.0,471333.3,779.0955266316629,204547,0.8191004982330496,3.0569581631763527,3454,209,624,1012,1609,55.2,9.4
Новосибирская область,0.568162134072406,77378.7,125.8,339.4,3.1,13.8,25.4,31563.0,99.8,41534.0,102.9,16.3,1.8,1.3679999999999999,2798170.0,485981.4,506.0525777704714,197028,1.0315670598998632,2.518538902211088,13622,491,2065,3960,7106,33.8,20.6
Омская область,0.5898876404494382,85381.7,256.1,394.1,10.5,13.6,29.0,27354.0,97.3,37828.0,103.7,16.9,0.8,0.27180000000000004,1926665.0,398641.0,969.9201983842546,185769,0.923876231726844,2.566403604155367,10203,376,1670,1997,6160,29.9,7.7
Оренбургская область,0.36741214057507987,79188.8,322.9,677.8,23.5,14.0,26.6,24719.0,97.7,35075.0,103.8,19.0,1.8,1.2730000000000001,1956835.0,538971.9,900.1904653074992,169416,0.9597130059509361,3.0092470749961033,11117,794,1475,2707,6141,93.6,3.7
Орловская область,0.5754141238012206,94883.0,315.4,604.7,11.7,12.9,25.0,26843.0,98.6,31862.0,103.7,18.8,1.4,0.0,733498.0,390170.2,408.86929480380314,194977,0.7818698892157852,2.9282970096714647,2537,97,353,650,1437,90.3,4.4
Пензенская область,0.44499637793645863,73083.1,74.4,843.3,3.5,13.0,22.4,24118.0,100.4,32766.0,102.9,16.9,0.2,0.0,1305563.0,379820.4,449.36018146960356,171267,0.7401404604756722,2.4971602289586943,5406,135,710,1042,3519,129.8,6.2
Пермский край,0.4661365505895256,94982.5,526.2,661.2,46.4,13.3,23.0,30215.0,95.1,41958.0,103.7,16.0,1.5,2.3102999999999994,2599260.0,541930.2,1153.897710409886,214162,0.9821641544131791,2.526988450559005,14688,822,2266,2853,8747,95.3,11.7
Приморский край,0.5260243632336655,72917.4,170.9,661.8,30.6,13.0,23.5,37304.0,96.9,50105.0,103.1,15.7,2.4,1.8796000000000004,1895868.0,582950.7,362.1885623788154,230378,0.952597965681155,2.319570771804788,11003,429,1911,3206,5457,64.1,35.5
Псковская область,0.40040040040040037,70723.5,85.4,406.1,0.0,16.2,24.7,26436.0,99.8,31496.0,103.9,15.0,0.1,0.0,626115.0,325659.6,455.9034736430208,200916,0.7977767662490117,2.892759317377798,3390,261,541,730,1858,85.9,4.6
Республика Адыгея,0.3168854685377999,66252.3,105.9,267.3,0.0,12.5,20.2,30293.0,101.4,32161.0,102.9,19.6,3.5,0.0,463088.0,309184.1,263.50561664305707,231447,0.9540303354869917,3.0717703762567807,1732,36,612,395,689,52.5,5.1
Республика Алтай,0.7445008460236886,89433.5,239.8,241.7,0.0,23.8,19.8,21677.0,104.5,36269.0,105.5,14.4,4.8,0.46759999999999985,220181.0,283451.4,79.13184425540805,135351,1.3420776542935131,3.73692552945077,2451,40,334,665,1412,71.1,9.2
Республика Башкортостан,0.5779504613890237,84448.9,123.0,376.7,3.7,11.6,22.4,30249.0,95.1,38738.0,102.5,17.4,0.5,0.9912000000000001,4038151.0,425161.0,764.8718703733466,226691,1.019773653833153,2.2088574696686676,18049,730,2220,4379,10720,56.4,6.4
Республика Бурятия,0.5467511885895404,61456.1,80.3,235.3,3.3,19.9,25.5,26092.0,98.8,41800.0,102.2,17.2,3.2,2.112,985937.0,307558.8,357.71677910454724,199747,1.2800006491286968,3.3597481380656165,8040,298,1670,2076,3996,48.9,3.4
Республика Дагестан,0.6816324775297811,80693.8,192.0,297.8,0.0,14.8,28.3,27661.0,97.2,31342.0,111.6,22.5,0.8,1.2,3110858.0,239640.7,43.45564329840835,188325,1.4949573397435691,7.0619423965992665,4841,189,716,1242,2694,13.6,9.1
Республика Ингушетия,0.5553586198747489,60547.7,55.2,106.0,0.0,30.0,32.5,16877.0,99.7,29648.0,104.3,27.8,0.0,0.0,507061.0,142199.7,16.87175862470196,50713,1.6690299589201298,8.54887281806331,331,15,42,100,174,0.2,2.7
Республика Калмыкия,0.2886002886002886,71872.7,103.7,354.8,0.0,22.7,24.3,19811.0,102.4,32013.0,107.6,20.2,0.0,0.0,271135.0,344933.1,41.8190897523374,86002,1.0223689306065245,3.9367842587640847,1349,22,231,244,852,58.1,0.7
Республика Карелия,0.4423927678399693,112365.5,442.3,691.2,31.8,15.1,24.2,32583.0,100.8,46501.0,104.1,17.1,3.4,4.6805,614064.0,522245.3,799.2717489707914,226569,0.8466544203861486,2.8179473149378564,4811,186,568,1366,2691,78.1,5.1
Республика Коми,0.2375923970432946,111709.0,298.9,639.0,42.1,15.3,22.7,36677.0,98.0,57156.0,102.1,15.5,8.8,6.588600000000001,820473.0,749219.3,1329.0300464000643,201675,0.9233698122912029,3.100650478443532,6964,225,882,1784,4073,107.5,10.7
