region,child_mortality_percent,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,poverty_percent,welfare_expense_share,real_incomes,real_pay,living area,bad conditions,no funds,population,grp,reg_prod_total,retail,newborn_per_population,disabled_percent,all crimes,alco,drug
Алтайский край,0.3958070853498073,112764.7,5.303802296778606,1272.1,1.4586150226995167,17.5,29.7,4.56954300834494,103.8,2.9444389791664403,0.26236426446749106,0.6228320066449197,14.655850266462593,12.58162101067699,5.9104820395938145,11.94214616143279,0.6217008037842142,1.294413146559837,9.69818391935025,88.1,2.91235066461494
Амурская область,0.42841796721346886,83412.0,5.916471568066552,446.7,1.6863989535702288,15.2,21.7,4.618086411254637,105.2,2.9069010598473755,0.8329091229351039,0.7290450715569298,13.579845184846246,13.255780188464634,6.240458262173812,12.40996813574794,0.6901402999969423,1.4286626176768549,8.769196271411001,113.3,3.2347491740244907
Архангельская область без Ненецкого АО,0.28188266991898697,99842.1,6.1310090745458785,685.3,2.6946271807700692,12.3,21.4,4.599152113662528,102.9,2.884800712846709,0.8754687373538999,0.8328221626324275,13.903910553709787,13.150370296486221,6.411687795109859,12.429352187597221,0.5962238719884074,1.2441843293608585,8.870803443982124,64.7,2.322387720290225
Астраханская область,0.4615706829216309,64679.9,6.030925615988895,624.5,0.0,15.6,31.4,4.585987366571318,104.5,3.005682604407159,0.5877866649021191,1.361694244251658,13.821276900608579,13.174864552010767,6.581238426084566,12.06984046620526,0.7346861310798206,1.0791475303989864,8.655040258108363,22.2,0.1823215567939546
Белгородская область,0.32244950562054353,74637.4,4.921439715291784,388.2,0.0,7.2,16.1,4.596129441335942,104.8,2.9338568698359038,0.5306282510621704,0.3249778571954777,14.253218242409188,13.379436746661392,7.13779708098495,12.376140261865242,0.5863077731810123,1.5931678823423783,8.480321716640333,41.3,1.4350845252893227
Брянская область,0.3594138058636196,77439.0,5.263208189434469,411.3,0.0,13.6,23.1,4.577798989191959,102.9,3.2228678461377385,0.09531017980432493,0.0,13.991555793126743,12.75767210265669,6.1662829361486065,12.326713815050091,0.5849908453868689,1.436287524167353,8.589513852995864,82.2,1.9600947840472698
Владимирская область,0.4717313848279473,94163.6,5.353752073436137,572.7,3.1570004211501135,12.5,26.0,4.59511985013459,103.0,2.8390784635086144,0.1823215567939546,0.142367241286922,14.121830609184116,12.924996241397993,6.753307258148419,12.087745086647924,0.5567461521014695,1.3508827115160813,8.686935966003333,66.5,2.174751721484161
Волгоградская область,0.4009966811854032,64210.5,4.816241156068032,505.7,0.0,11.9,25.1,4.602165676967792,104.2,2.9391619220655967,0.6931471805599453,0.3359721115795306,14.728209647606507,12.884759528106612,6.5889512009363695,12.0284221622661,0.5818525899516828,1.2807672788435298,9.365633256382218,55.6,2.163323025660538
Вологодская область,0.4392253980671979,91608.4,5.3003153692107094,524.6,1.4586150226995167,12.8,25.9,4.611152257665639,105.4,2.884800712846709,0.7419373447293773,0.5348546015653519,13.964314971946612,13.207403178782087,7.201089948249232,12.11680964462781,0.6533078926637859,1.2724585003555136,8.83724564389847,50.1,1.9600947840472698
Воронежская область,0.3113927889105239,55009.9,4.599152113662528,583.5,1.6486586255873816,8.5,21.6,4.5685062016165,103.2,3.039749158970765,0.6418538861723947,0.44980092192821614,14.658889033301008,13.038178184808833,6.428226765879704,12.438837760788346,0.6012571555368258,1.453893455752089,8.988196320995057,73.4,3.1570004211501135
